row_id,character,unicode_codepoint,scope,candidate_structure_label,candidate_decomposition,direct_component_candidates,radical,standard_evidence_status,existing_score,existing_max,component_validity_score,component_validity_status,radical_validity_score,radical_validity_status,structure_first_decomposition_score,structure_first_decomposition_status,newly_assigned_score,assigned_score,formal_total,row_score_status,remaining_blocked_items,cnbe_write_status,database_rebuild_status,review_notice
8105_core_control_011,含,U+542B,8105_national_standard_core,上下,⿱今口,口 今,口,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_012,咳,U+54B3,8105_national_standard_core,左右,⿰口亥,口 亥,口,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_013,啕,U+5555,8105_national_standard_core,左右,⿰口匋,口 匋,口,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_014,嘀,U+5600,8105_national_standard_core,左右,⿰口啇,啇 口,口,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_015,圄,U+5704,8105_national_standard_core,全包围,⿴囗吾,吾 囗,囗,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_016,垟,U+579F,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_017,塑,U+5851,8105_national_standard_core,上下,⿱朔土,朔 土,土,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_018,契,U+5951,8105_national_standard_core,上下,⿱⿰丰刀大,丰 刀 大,大,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_019,娅,U+5A05,8105_national_standard_core,左右,⿰女亚,女 亚,女,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_020,嫭,U+5AED,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_021,宿,U+5BBF,8105_national_standard_core,上下,⿱宀佰,佰 宀,宀,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_022,屼,U+5C7C,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_023,崶,U+5D36,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_024,帷,U+5E37,8105_national_standard_core,左右,⿰巾隹,巾 隹,巾,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_025,弇,U+5F07,8105_national_standard_core,上下,⿱合廾,廾 合,廾,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_026,忉,U+5FC9,8105_national_standard_core,左右,⿰忄刀,刀 忄,忄,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_027,恪,U+606A,8105_national_standard_core,左右,⿰忄各,各 忄,忄,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_028,愉,U+6109,8105_national_standard_core,左右,⿰忄俞,俞 忄,忄,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_029,戭,U+622D,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_030,拆,U+62C6,8105_national_standard_core,左右,⿰扌斥,扌 斥,扌,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_031,捡,U+6361,8105_national_standard_core,左右,⿰扌佥,佥 扌,扌,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_032,搡,U+6421,8105_national_standard_core,左右,⿰扌桑,扌 桑,扌,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_033,敏,U+654F,8105_national_standard_core,左右,⿰每攵,攵 每,攵,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_034,昃,U+6603,8105_national_standard_core,上下,⿱日仄,日 仄,日,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_035,暨,U+66A8,8105_national_standard_core,上下,⿱既旦,旦 既,日,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_036,杰,U+6770,8105_national_standard_core,上下,⿱木灬,木 灬,木,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_037,栐,U+6810,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_038,棉,U+68C9,8105_national_standard_core,左右,⿰木帛,木 帛,木,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_039,榧,U+69A7,8105_national_standard_core,左右,⿰木匪,木 匪,木,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_040,歉,U+6B49,8105_national_standard_core,左右,⿰兼欠,欠 兼,欠,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_041,氩,U+6C29,8105_national_standard_core,右上包,⿹气亚,气 亚,气,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_042,沽,U+6CBD,8105_national_standard_core,左右,⿰氵古,氵 古,氵,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_043,浃,U+6D43,8105_national_standard_core,左右,⿰氵夹,氵 夹,氵,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_044,淌,U+6DCC,8105_national_standard_core,左右,⿰氵尚,氵 尚,氵,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
