pilot_id,stratum,unicode,char,codepoint,catalog_offset,worksheet_row,catalog_scope,review_status,structure_evidence_status,source_grade,next_action,dictionary_source_count,has_origin_context,cihai_hit_count,wiki_hit_count,dictionary_review_status,wiki_review_status,feature_review_queue,evidence_role,pilot_reason,human_review_status,human_structure_label,human_decomposition,human_notes,editable_copy_notice
8105_core_control_027,8105_core_control,U+606A,恪,24682,22644,22646,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_028,8105_core_control,U+6109,愉,24841,22726,22728,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_029,8105_core_control,U+622D,戭,25133,25016,25018,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_030,8105_core_control,U+62C6,拆,25286,25496,25498,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_031,8105_core_control,U+6361,捡,25441,25578,25580,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_032,8105_core_control,U+6421,搡,25633,25660,25662,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_033,8105_core_control,U+654F,敏,25935,28259,28261,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_034,8105_core_control,U+6603,昃,26115,29511,29513,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_035,8105_core_control,U+66A8,暨,26280,29593,29595,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_036,8105_core_control,U+6770,杰,26480,31282,31284,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_037,8105_core_control,U+6810,栐,26640,31364,31366,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_038,8105_core_control,U+68C9,棉,26825,31446,31448,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_039,8105_core_control,U+69A7,榧,27047,31528,31530,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_040,8105_core_control,U+6B49,歉,27465,34604,34606,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_041,8105_core_control,U+6C29,氩,27689,36496,36498,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,0,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_042,8105_core_control,U+6CBD,沽,27837,36655,36657,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_043,8105_core_control,U+6D43,浃,27971,36736,36738,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_044,8105_core_control,U+6DCC,淌,28108,36818,36820,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_045,8105_core_control,U+6E98,溘,28312,36900,36902,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_046,8105_core_control,U+6F4B,潋,28491,36982,36984,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_047,8105_core_control,U+7089,炉,28809,40305,40307,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_048,8105_core_control,U+7153,煓,29011,40387,40389,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_049,8105_core_control,U+7267,牧,29287,43045,43047,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_050,8105_core_control,U+732E,献,29486,43595,43597,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_051,8105_core_control,U+73E5,珥,29669,44594,44596,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,2,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_052,8105_core_control,U+7481,璁,29825,44676,44678,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_053,8105_core_control,U+755A,畚,30042,46586,46588,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_054,8105_core_control,U+7603,瘃,30211,47251,47253,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_055,8105_core_control,U+76D6,盖,30422,48799,48801,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_056,8105_core_control,U+77AD,瞭,30637,49238,49240,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_057,8105_core_control,U+786A,硪,30826,50827,50829,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_058,8105_core_control,U+795B,祛,31067,52073,52075,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_059,8105_core_control,U+7A39,稹,31289,52896,52898,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_060,8105_core_control,U+7B26,符,31526,54771,54773,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_061,8105_core_control,U+7BEF,篯,31727,54853,54855,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,0,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_062,8105_core_control,U+7DA6,綦,32166,57403,57405,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_063,8105_core_control,U+7EE8,绨,32488,57485,57487,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,3,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_064,8105_core_control,U+7F51,网,32593,59464,59466,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
