char,unicode,standard_rank,block_reason,resolution_class,next_required_action,approved_radical,approved_strokes,approved_agent_structure,approved_agent_struct_type,source_model_presence,current_index_recoverable,decoded_current_index,decoded_ext,write_status,database_status
阴,U+9634,575,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,52,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
防,U+9632,576,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,50,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邮,U+90AE,732,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,686,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乱,U+4E71,762,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,7,左右,3,present,True,113,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邻,U+90BB,801,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,699,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
际,U+9645,911,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,69,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陆,U+9646,912,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,70,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阿,U+963F,913,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,63,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陈,U+9648,914,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,72,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阻,U+963B,915,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,59,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
附,U+9644,916,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,68,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郁,U+90C1,1043,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,705,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乳,U+4E73,1175,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,8,左右,3,present,True,115,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郊,U+90CA,1218,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,714,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
氓,U+6C13,1226,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,民,8,左右,3,present,True,1555,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郑,U+90D1,1229,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,721,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
单,U+5355,1232,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,8,上下,1,present,True,1365,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郎,U+90CE,1287,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,718,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
肃,U+8083,1303,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,肀,8,独体字,0,present,True,643,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陋,U+964B,1317,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,75,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陌,U+964C,1318,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,76,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陕,U+9655,1320,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,85,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
降,U+964D,1321,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,77,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
限,U+9650,1323,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,80,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巷,U+5DF7,1406,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,9,上下,1,present,True,2039,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
养,U+517B,1641,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,9,上中下,2,present,True,891,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
既,U+65E2,1721,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,旡,9,左右,3,present,True,2018,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陡,U+9661,1727,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,9,左右,3,present,True,97,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陨,U+9668,1731,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,9,左右,3,present,True,104,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
除,U+9664,1732,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,9,左右,3,present,True,100,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
险,U+9669,1733,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,9,左右,3,present,True,105,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
院,U+9662,1734,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,9,左右,3,present,True,98,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
都,U+90FD,1801,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,765,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郭,U+90ED,2022,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,749,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
部,U+90E8,2044,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,744,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兼,U+517C,2056,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,10,独体字,0,present,True,892,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陵,U+9675,2135,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,117,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陶,U+9676,2137,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,118,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陷,U+9677,2138,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,119,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陪,U+966A,2139,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,10,左右,3,present,True,106,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鄂,U+9102,2283,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,770,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兽,U+517D,2407,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,11,上中下,2,present,True,893,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隋,U+968B,2474,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,139,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
随,U+968F,2476,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,143,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隅,U+9685,2478,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,133,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隆,U+9686,2479,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,134,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隐,U+9690,2480,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,11,左右,3,present,True,144,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隔,U+9694,2805,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,12,左右,3,present,True,148,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隙,U+9699,2806,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,12,左右,3,present,True,153,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隘,U+9698,2807,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,12,左右,3,present,True,152,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鄙,U+9119,2903,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,13,左右,3,present,True,793,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
障,U+969C,3038,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,13,左右,3,present,True,156,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
隧,U+96A7,3182,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,14,左右,3,present,True,167,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乜,U+4E5C,3502,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,2,镶嵌,12,present,True,92,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兀,U+5140,3503,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,兀,3,上下,1,present,True,832,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
孑,U+5B51,3505,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,孑,3,独体字,0,present,True,1361,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
毋,U+6BCB,3527,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,毋,4,独体字,0,present,True,1483,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邗,U+9097,3528,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,5,左右,3,present,True,663,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邛,U+909B,3529,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,5,左右,3,present,True,667,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
匜,U+531C,3536,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左三包,7,present,True,1308,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邝,U+909D,3551,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,5,左右,3,present,True,669,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邙,U+9099,3552,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,5,左右,3,present,True,665,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阡,U+9621,3559,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,5,左右,3,present,True,33,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邢,U+90A2,3567,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,674,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乩,U+4E69,3590,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,6,左右,3,present,True,105,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邬,U+90AC,3621,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,684,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
厾,U+53BE,3637,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,右上包,6,present,True,1470,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阱,U+9631,3638,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,49,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阮,U+962E,3639,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,46,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阪,U+962A,3640,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,42,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玕,U+7395,3648,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1429,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玙,U+7399,3649,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1433,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
抔,U+6294,3651,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1172,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㧐,U+39D0,3658,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邯,U+90AF,3660,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,687,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
芼,U+82BC,3668,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,1212,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邴,U+90B4,3684,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,692,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邳,U+90B3,3685,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,691,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邶,U+90B6,3693,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,694,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邺,U+90BA,3696,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,698,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
旸,U+65F8,3704,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,2040,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
吽,U+543D,3709,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1597,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
牤,U+7264,3727,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1124,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邱,U+90B1,3729,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,689,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邸,U+90B8,3743,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,696,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邹,U+90B9,3749,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,7,左右,3,present,True,697,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
