external_review_id,query_char,query_unicode,candidate_char,candidate_unicode,relation_type,relation_claim_to_verify,later_masked_cnbe_field,source_document,source_locator,source_grade,unicode_identity_status,external_relation_label,external_source_confirmation,external_reviewer_id,external_review_decision,external_review_notes,external_packet_notice
P1_EXT_001,鬈,U+9B08,鬓,U+9B13,shared_radical_component,radical=髟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6312;candidate=8105_full_3473,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_012,酵,U+9175,酏,U+914F,shared_radical_component,radical=酉,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3086;candidate=8105_full_6966,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_013,茚,U+831A,茵,U+8335,shared_radical_component,radical=艹,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3866;candidate=8105_full_1410,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_014,耗,U+8017,耜,U+801C,shared_radical_component,radical=耒,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1768;candidate=8105_full_4710,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_015,蠡,U+8821,蝾,U+877E,shared_radical_component,radical=虫,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6463;candidate=8105_full_5921,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_016,鞮,U+97AE,靳,U+9773,shared_radical_component,radical=革,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_7986;candidate=8105_full_5371,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_017,瞰,U+77B0,省,U+7701,shared_radical_component,radical=目,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6086;candidate=8105_full_1474,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_018,媳,U+5AB3,姜,U+59DC,shared_radical_component,radical=女,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3039;candidate=8105_full_1643,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_019,汤,U+6C64,泪,U+6CEA,shared_radical_component,radical=氵,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0542;candidate=8105_full_1246,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_020,龊,U+9F8A,龇,U+9F87,shared_radical_component,radical=齿,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5900;candidate=8105_full_5690,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_021,突,U+7A81,窿,U+7ABF,shared_radical_component,radical=穴,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1700;candidate=8105_full_3383,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_022,椐,U+6910,杞,U+675E,shared_radical_component,radical=木,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5105;candidate=8105_full_3680,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_023,扯,U+626F,播,U+64AD,shared_radical_component,radical=扌,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0624;candidate=8105_full_3199,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_024,聘,U+8058,聋,U+804B,shared_radical_component,radical=耳,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_2845;candidate=8105_full_2245,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_025,槜,U+69DC,杞,U+675E,shared_radical_component,radical=木,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_7651;candidate=8105_full_3680,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_026,脐,U+8110,脘,U+8118,shared_radical_component,radical=⺼,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1999;candidate=8105_full_4922,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_027,缝,U+7F1D,缰,U+7F30,shared_radical_component,radical=纟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3045;candidate=8105_full_3386,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_028,佤,U+4F64,侗,U+4F97,shared_radical_component,radical=亻,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3605;candidate=8105_full_3957,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_029,鼾,U+9F3E,鼻,U+9F3B,shared_radical_component,radical=鼻,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6264;candidate=8105_full_3128,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_030,勋,U+52CB,劭,U+52AD,shared_radical_component,radical=力,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1506;candidate=8105_full_3817,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_031,蜇,U+8707,蝾,U+877E,shared_radical_component,radical=虫,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5356;candidate=8105_full_5921,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_032,佘,U+4F58,会,U+4F1A,shared_radical_component,radical=人,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3737;candidate=8105_full_0486,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_033,耙,U+8019,耜,U+801C,shared_radical_component,radical=耒,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1769;candidate=8105_full_4710,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_034,诈,U+8BC8,评,U+8BC4,shared_radical_component,radical=讠,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0893;candidate=8105_full_0887,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_035,调,U+8C03,评,U+8BC4,shared_radical_component,radical=讠,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_2123;candidate=8105_full_0887,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_036,菪,U+83EA,茵,U+8335,shared_radical_component,radical=艹,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4764;candidate=8105_full_1410,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_037,弦,U+5F26,弘,U+5F18,shared_radical_component,radical=弓,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1314;candidate=8105_full_0329,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_038,颡,U+98A1,颁,U+9881,shared_radical_component,radical=页,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6191;candidate=8105_full_1990,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_039,镦,U+9566,镴,U+9574,shared_radical_component,radical=钅,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6248;candidate=8105_full_6436,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_040,幔,U+5E54,帙,U+5E19,shared_radical_component,radical=巾,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5725;candidate=8105_full_3927,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_041,风,U+98CE,飙,U+98D9,shared_radical_component,radical=风,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0154;candidate=8105_full_6074,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_042,泱,U+6CF1,泪,U+6CEA,shared_radical_component,radical=氵,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4013;candidate=8105_full_1246,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_043,隐,U+9690,陞,U+965E,shared_radical_component,radical=阝,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_2480;candidate=8105_full_6909,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_044,粕,U+7C95,精,U+7CBE,shared_radical_component,radical=米,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4954;candidate=8105_full_3153,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_045,帆,U+5E06,帙,U+5E19,shared_radical_component,radical=巾,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0437;candidate=8105_full_3927,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_046,起,U+8D77,趣,U+8DA3,shared_radical_component,radical=走,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1789;candidate=8105_full_3194,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_047,洋,U+6D0B,泪,U+6CEA,shared_radical_component,radical=氵,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1679;candidate=8105_full_1246,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_048,阕,U+9615,阈,U+9608,shared_radical_component,radical=门,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5268;candidate=8105_full_4946,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_049,鬒,U+9B12,鬓,U+9B13,shared_radical_component,radical=髟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_8051;candidate=8105_full_3473,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_050,钜,U+949C,镴,U+9574,shared_radical_component,radical=钅,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6845;candidate=8105_full_6436,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_051,靠,U+9760,辈,U+8F88,shared_radical_component,radical=非,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3259;candidate=8105_full_2602,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_052,佰,U+4F70,侗,U+4F97,shared_radical_component,radical=亻,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3952;candidate=8105_full_3957,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_053,幂,U+5E42,冥,U+51A5,shared_radical_component,radical=冖,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5311;candidate=8105_full_2121,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_054,犟,U+729F,犊,U+728A,shared_radical_component,radical=牛,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6188;candidate=8105_full_5196,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_055,睐,U+7750,省,U+7701,shared_radical_component,radical=目,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_2612;candidate=8105_full_1474,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_056,靡,U+9761,靠,U+9760,shared_radical_component,radical=非,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3466;candidate=8105_full_3259,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_057,绡,U+7EE1,缰,U+7F30,shared_radical_component,radical=纟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4701;candidate=8105_full_3386,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_058,萸,U+8438,茵,U+8335,shared_radical_component,radical=艹,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4755;candidate=8105_full_1410,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_059,籽,U+7C7D,精,U+7CBE,shared_radical_component,radical=米,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1648;candidate=8105_full_3153,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_060,棂,U+68C2,杞,U+675E,shared_radical_component,radical=木,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4779;candidate=8105_full_3680,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_061,狯,U+72EF,独,U+72EC,shared_radical_component,radical=犭,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4292;candidate=8105_full_1602,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_062,纴,U+7EB4,缰,U+7F30,shared_radical_component,radical=纟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3823;candidate=8105_full_3386,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_063,央,U+592E,套,U+5957,shared_radical_component,radical=大,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_0249;candidate=8105_full_1869,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_064,滚,U+6EDA,泪,U+6CEA,shared_radical_component,radical=氵,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3015;candidate=8105_full_1246,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_065,侠,U+4FA0,侗,U+4F97,shared_radical_component,radical=亻,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1141;candidate=8105_full_3957,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_066,粑,U+7C91,精,U+7CBE,shared_radical_component,radical=米,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4634;candidate=8105_full_3153,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_067,筮,U+7B6E,简,U+7B80,shared_radical_component,radical=⺮,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5502;candidate=8105_full_2954,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_068,奖,U+5956,套,U+5957,shared_radical_component,radical=大,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1618;candidate=8105_full_1869,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_069,啫,U+556B,啼,U+557C,shared_radical_component,radical=口,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_7156;candidate=8105_full_2645,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
