char,unicode,standard_rank,status,block_reason,block_detail,approved_agent_structure,approved_agent_struct_type,implementation_queue,required_before_source_write,human_decision_id,source_table_write_status,database_rebuild_status
民,U+6C11,327,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; not a Kangxi radical main-form in the mapping source.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邦,U+90A6,348,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邪,U+90AA,405,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
关,U+5173,532,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
那,U+90A3,564,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阵,U+9635,571,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阳,U+9633,572,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阶,U+9636,574,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阴,U+9634,575,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
防,U+9632,576,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邮,U+90AE,732,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乱,U+4E71,762,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邻,U+90BB,801,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
际,U+9645,911,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陆,U+9646,912,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阿,U+963F,913,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陈,U+9648,914,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阻,U+963B,915,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
附,U+9644,916,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郁,U+90C1,1043,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乳,U+4E73,1175,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郊,U+90CA,1218,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
氓,U+6C13,1226,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; not a Kangxi radical main-form in the mapping source.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郑,U+90D1,1229,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
单,U+5355,1232,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郎,U+90CE,1287,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
肃,U+8083,1303,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陋,U+964B,1317,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陌,U+964C,1318,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陕,U+9655,1320,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
降,U+964D,1321,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
限,U+9650,1323,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巷,U+5DF7,1406,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
养,U+517B,1641,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,上中下,2,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
既,U+65E2,1721,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陡,U+9661,1727,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陨,U+9668,1731,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
除,U+9664,1732,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
险,U+9669,1733,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
院,U+9662,1734,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
都,U+90FD,1801,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郭,U+90ED,2022,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
部,U+90E8,2044,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兼,U+517C,2056,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陵,U+9675,2135,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陶,U+9676,2137,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陷,U+9677,2138,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陪,U+966A,2139,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鄂,U+9102,2283,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兽,U+517D,2407,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,上中下,2,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
