sample_id,char,unicode,review_prior,review_queue,source_gap_failure_codes,dictionary_context_class,dictionary_source_count,dictionary_source_ids,kangxi_preview,zhonghua_dazidian_preview,source_grade,human_review_status,human_structure_label,human_decomposition,human_evidence_source,human_review_notes
review_prior_medium:011,欍,U+6B0D,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_gap,0,,,,dictionary_context_gap,未审核,,,,
review_prior_medium:012,湋,U+6E4B,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】羽非切。【集韻】【韻會】于非切，𠀤音韋。【說文】回也。一曰水名。【前漢·溝洫志】關中靈軹，成國湋渠。【註】水出韋谷。,1、湋讀音：于非切，音韋，微韻。釋文： ❶回也。見《說文》。《段注》：以曡韻爲訓。 ❷淵也。見《廣雅釋水》。 ❸水名。見《玉篇》。 〔按漢書溝洫志。關中靈軹成國～渠。引諸川。注～水。出韋谷〕。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:013,濆,U+6FC6,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】【集韻】【韻會】𠀤符分切，音汾。【說文】水厓也。【詩·大雅】鋪敦淮濆。 又【爾雅·釋水】汝爲濆。【註】大水溢出別爲小水之名。【水經注】汝水逕奇雒城西北，濆水出焉。 又【廣韻】普䰟切【集韻】鋪䰟切，𠀤音歕。潠水也。通作噴。 又【玉篇】扶刎切【集韻】【韻會】父吻切【正韻】房吻切，𠀤音憤。涌也。【公羊傳·昭五年】濆泉,1、濆讀音：符分切，音汾，文韻。釋文： ❶水厓也。詩曰、敦彼淮～。見《說文》。《段注》：詩大雅、鋪敦淮～。傳曰。～、厓也。周南、遵彼汝墳傳曰。墳、大防也。畫然分別。敦彼當是鋪敦之誤。 ❷水名。《爾雅釋水》：汝爲～。《義疏》：水經注云。汝水東南逕奇洛城西北。～水出焉。世亦謂之大㶏水。按㶏今變爲溵。大溵水在今郾城縣。卽汝水,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:014,煇,U+7147,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】况韋切【廣韻】許歸切【集韻】吁韋切【韻會】吁歸切，𠀤音揮。【說文】光也。【玉篇】燿光也。【易·大畜】剛健篤實煇光。【禮·玉藻】煇，如也。又【樂記】德煇動于內。 又【前漢·平帝紀】分京師置前煇，光後丞烈二郡。 又【集韻】火之光。 又【廣韻】同輝暉。【集韻】或作煒。又【集韻】許云切，音熏。【張衡·西京賦】金戺玉階，,1、煇讀音：吁韋切，音揮，微韻。許元切，音萱，元韻。釋文： ❶光也。《詩夜如何其》：庭燎有～。 ❷德～。顏色潤澤也。《禮記樂記》：故德～動於內。 ❸或作輝。《易繫辭》：剛健篤實輝光。〔唐石經作～〕。 ❹或作瘆。《漢修堯廟碑》：表著瘆銘。 2、煇讀音：許云切，音熏，文韻。釋文： ❶～～。赤光著貌。《文選張衡賦》：彤庭～～,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:015,獁,U+7341,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【集韻】莫駕切，音罵。獸名。,1、獁讀音：莫駕切，音罵，禡韻。釋文：獸名。見《集韻》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:016,璊,U+748A,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】莫奔切【集韻】【正韻】謨奔切【韻會】謨昆切，𠀤音門。【說文】玉䞓色也。禾之赤苗謂之虋，言璊，玉色如之。【詩·王風】毳衣如璊。【傳】璊，赬也。 又【集韻】模元切，音樠。義同。 【類篇】或作玧。亦作㻊。,1、璊讀音：謨奔切，音門，模元切，音賾，元韻。釋文： ❶玉䞓色也。禾之赤苗謂之賾。言～玉色如之。見《說文》。《段注》：毛傳曰。～、頳玉也。今本脫玉字。賾、卽艸部虋字之或體。釁聲在十三部。與十四部㒼聲最近。而又雙聲。此～縂字皆於虋得義也。 ❷同㻊。見《類篇》。〔正字通云。㻊、俗～字〕。 2、玧讀音：余專切，音沿，先韻。庾,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:017,瘺,U+763A,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【字彙】力候切，音漏。瘺瘡。亦作瘺。<hr>考證：〔【字彙】力侯切，音漏。〕 謹照原文力侯切改力候切。,1、瘺讀音：力候切，音漏，宥韻。釋文：～瘡也。見《集韻》。 2、鶪釋文：瘺俗字。見《正字通》。 3、瘻讀音：郞豆切，音漏，力救切，音澑，宥韻。龍遇切，音屢，遇韻。釋文：腫也。見《說文》。《段注》：鍇本作頭腫。蓋淺人恐與頸癅不別而改之。腫、癰也。頸腫、卽釋名之癰喉。 〔按巢氏病源諸～候。載狼～、鼠～、螻蛄～、蚍蜉～、蜂,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:018,碸,U+78B8,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_gap,0,,,,dictionary_context_gap,未审核,,,,
review_prior_medium:019,竪,U+7AEA,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】臣庾切，音樹。立也。俗豎字。【說文】从豎。【廣韻】童僕之未冠者曰豎。【史記·酈生傳】沛公罵曰：竪儒。【註】竪，童僕之稱。沛公輕之，以比奴竪，故曰竪儒。 又姓。【山海經】帝命竪亥，步自東極，至於西極，五億十選九千八百步。【郭註】竪亥，健行人。 又國名。【山海經】在流沙外者，大夏竪沙居繇月支之國。 又去聲。【通鑑】,1、竪釋文：豎俗字。 2、蠿讀音：常注切，音豎，遇韻。釋文：立也。見《字彙補》。 3、豎讀音：上主切，音裋，麌韻。釋文： ❶堅立也。見《說文臤部》。《段注》：堅立謂堅固立之也。～與尌音義同。而～从臤。故知爲堅立。 〔按各本作䜿立。繫傳曰、豆器。故爲～立。通訓定聲以爲誤也〕。 ❷縱也。《楞嚴經》：人天本～。畜生本橫。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:020,糺,U+7CFA,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】居黝切【集韻】吉酉切，𠀤音朻。糾，或作糺。【楚辭·招隱士】樹輪相糾兮。【註】糾，一作糺。 又【後漢·隗囂傳】援旗糺族。【註】糺，收也。 又【楚辭·九章】糺思心以爲纕兮。【註】糺，戾也。,1、糺讀音：吉酉切，音朻，有韻。 〔按～卽糾之俗字〕。釋文： ❶收也。《後漢隗囂傳》：援旗～族。 ❷戾也。《楚辭九章》：～思心以爲纕兮。 ❸攝也。《家語正論解》：慢則～於猛。 2、糾讀音：吉酉切，音朻，有韻。釋文： ❶繩三合也。見《說文訜部》。 〔按史記賈誼傳。何異～纆。劉表易章句。兩股曰纆。然則三股曰～也。謂繩之,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:021,綆,U+7D86,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,〔古文〕䋁【廣韻】【集韻】【韻會】【正韻】𠀤古杏切，音梗。【說文】汲井綆也。【揚子·方言】繘，自關而東，周洛韓魏之間謂之綆。【莊子·至樂篇】綆短不可汲深。【玉篇】亦作䋁。 又【集韻】必郢切，音餠。【周禮·冬官考工記·輪人】眡其綆，欲其蚤之正也。【註】綆，讀爲餠，輪箄也。 又【集韻】補滿切，音䬳。義同。,1、綆讀音：古杏切，音梗，梗韻。釋文：本作䌄。《說文》：䌄。汲井～也。《段注》：汲者引水於井也。～者汲水索也。 2、綆讀音：必郢切，音餅，梗韻。補滿切，音䬳，願韻。釋文：輪箅也。《考工記輪人》：眡其～。欲其蚤之正也。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:022,緟,U+7DDF,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】直容切【集韻】傳容切，𠀤音重【說文】增益也。【玉篇】疊也，複也。或作褈。今作重。 又【集韻】一曰厚也。或作𧝎。 又【廣韻】柱用切【集韻】儲用切，𠀤重去聲。繒縷也。,1、緟讀音：直容切，音重，冬韻。釋文： ❶增益也。見《說文》。《段注》：增益之曰～。經傳叚重爲之。非字之本。如易之重卦。象傳言重巽。皆謂～之也。今則重行而～廢矣。增益之則加重。故其字从重。許書重文若干。皆當作～文。 ❷曡也。見《玉篇》。 ❸複也。見《玉篇》。 ❹厚也。見《集韻》。 2、緟讀音：柱用切，重去聲，宋韻。釋文,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:023,縺,U+7E3A,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】落賢切，音蓮。縺縷，寒具。【玉篇】縷不解。 又【集韻】力延切，音連。義同。,1、縺讀音：落賢切，音蓮，先韻。釋文： ❶縷不解。見《玉篇》。 ❷～縷。寒具。見《廣韻》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:024,罃,U+7F43,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】烏莖切【集韻】於莖切，𠀤音罌。【說文】備火長頸瓶也。【五經文字】與甖同。,1、罃讀音：於莖切，音罌，庚韻。釋文： ❶備火長頸缾也。見《說文》。《段注》：備火之汲罋則長其頸。以多盛水。且免傾覆也。 ❷人名。《左僖十五年傳》：以太子～。 〔按卽秦康公也〕。 〔又〕：女～。見《古今人表》。 〔按卽舜妃女英也〕。 〔又〕：知～。見《國語晉語》。 2、罌讀音：於莖切，音英，庚韻。於正切，音纓，,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:025,艣,U+8263,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】郞古切【集韻】【韻會】籠五切，𠀤音魯。【廣韻】所以進船。【集韻】通作樐櫓。,1、艣讀音：籠五切，音魯，麌韻。釋文：所以進船。見《玉篇》。 2、櫓讀音：籠五切，音魯，麌韻。釋文： ❶大盾也。見《說文》。《段注》：釋名曰。盾大而平者曰吳魁。隆者曰須盾。 〔按吳須皆與～聲近。～或假杵爲之。尙書流血漂杵是也。又或假鹵爲之。始皇本紀、天子出行鹵簿。鹵、大楯也〕。 ❷大戟也。《家語儒行》：禮義以爲干～。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:026,蕝,U+855D,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】子悅切【集韻】租悅切，𠀤音撮。【晉語】楚爲荆蠻置茅蕝。【註】蕝謂束茅而立之，所以𦄲酒。 又通蕞。【前漢·叔孫通傳】與其弟子百餘人爲綿蕞。【師古註】蕞同蕝。 又【纂文】蕝，今纂字。又祖芮切，音橇。【唐韻古音】引《史記·夏本紀》泥行乗。註：徐廣曰：他書或作蕝。索隱曰：蕝音子芮反。 又【六書正譌】小也。,1、蕝讀音：租悅切，音撮，屑韻。釋文： ❶朝會束茅表位曰～。春秋國語曰。致茅～表坐。見《說文》。《王注》：表坐、衍文。或曰。當作設望表。 ❷同蕞。《漢書叔孫通傳》：與其弟子百人。爲緜蕞、野外習之。 〔注〕：如淳曰。謂以茅剪樹地。爲纂位尊卑之次也。春秋傳曰。置茅～。師古曰。蕞、與～同。 〔按～、今之纂字。今人編纂之語,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:027,蟶,U+87F6,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】丑貞切【集韻】【韻會】癡貞切，𠀤音頳。蚌屬。【正字通】閩粵人以田種之，謂之蟶田。,1、蟶讀音：癡貞切，音赬，庚韻。釋文：蚌屬。見《集韻》。 〔按～生海泥中。長二三寸。大如指。兩頭開。肉可食。閩粵人以田種之。謂之～田。俗呼美人～〕。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:028,覛,U+899B,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】【集韻】𠀤莫狄切，銘入聲。【說文】衺視也。【張衡·西京賦】覛往昔之遣館。【註】覛，視也。李善讀。 又【廣韻】【集韻】莫獲切【韻會】【正韻】莫白切，𠀤音麥。【爾雅·釋詁】覛，視也。【註】謂相視也。【六書故】密察也。【周語】古者太史順時覛土。【後漢·杜篤·論都賦】覛長樂。○按《玉篇》籀作𧡒，亦作𧠨，與眽通，與覓別。,1、覛讀音：莫狄切，音眽，錫韻。莫獲切，音麥，陌韻。釋文： ❶衺視也。見《說文懅部》。《段注》：～與目部眽通用。不入見部者。重懅也。俗有尋覓字。此篆之譌體。 ❷視也。《文選張衡賦》：～往昔之遺館。 ❸密察也。見《六書故》。 ❹相也。見《爾雅釋詁》。 〔注〕：謂相視也。 2、覓讀音：莫狄切，音覛，錫韻。 〔按段玉裁謂,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:029,詘,U+8A58,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】區勿切【集韻】【韻會】【正韻】曲勿切，𠀤音屈。【說文】詰詘也。一曰屈襞。【禮·喪大記】凡𨻰衣不詘。【註】謂舒而不卷也。【楚辭·九思】思哽饐兮詰詘。 又【博雅】曲也，折也。【玉篇】枉曲也。【禮·樂記】習其俯仰詘伸。【史記·管晏列傳】君子詘於不知己，而信於知己者。【前漢·孫寶傳】道不可詘，身詘何傷。 又【廣韻】辭塞,1、詘讀音：曲物切，音屈，物韻。釋文： ❶詰～也。一曰屈襞。見《說文》。《段注》：屈曲之意。屈襞、謂衣襞積。 ❷屈也。見《廣雅釋詁》。 ❸卷也。《禮記喪大記》：凡陳衣不～。 〔注〕：謂舒而不卷也。 ❹折也。見《廣雅釋詁》。 ❺枉曲也。見《玉篇》。 ❻枉也。《呂覽壅塞》：宋王因怒而～殺之。 ❼斷絕貌。《家語問玉》：其終,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:030,諰,U+8AF0,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】胥里切【集韻】想止切【韻會】【正韻】想里切，𠀤音枲。【說文】思之意。【廣韻】言且思之。 又【類篇】直言也。 又懼貌。【荀子·議兵篇】諰諰然常恐天下之一合而軋己也。 又人名。【宋史·宗室表】武翼郞士諰。又【集韻】息攺切，顋上聲。【類篇】語也。 又【廣韻】山隹切【集韻】所隹切，𠀤音籭。【說文】義同。又【類篇】語失也,1、諰讀音：想止切，音枲，紙韻。釋文： ❶思之意。見《說文》。《段注》：廣韻曰。言且思之。疑古本作言且思之意也。故其字从言思。意者、䛐下意內言外之意。 ❷直言也。見《集韻》。 ❸懼也。《荀子彊國》：雖然。則有其～矣。 ❹～～。亦懼貌。《荀子議兵》：～～然常恐天下之一合而軋已。 ❺人名。《宋史宗室表》：武翼郞士～。 2、,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:031,譾,U+8B7E,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【正韻】子踐切，音翦。【字彙】淺也。【史記·李斯傳】能薄而材譾。 又人名。希譾、汝譾，見【宋史·宗室表】。 【正字通】本作𧫌。【㴑原】與譾、俴𠀤同。,1、譾讀音：子踐切，音翦，銑韻。釋文： ❶淺也。《史記李斯傳》：能薄而材～。 ❷人名。希～。汝～。見《宋史宗室表》。 2、謭釋文：同譾。見《字彙》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:032,賾,U+8CFE,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,〔古文〕𡄙【廣韻】士革切，音嘖。【易·繫辭】聖人有以見天下之賾。【疏】謂幽深難見。【釋文】賾，京氏作嘖。○按徐鉉說文敘辨俗書譌謬，不合六書之體者，以賾爲假借之字，當通用嘖。 【集韻】賾或作𡁃。,1、賾讀音：士革切，音嘖，職韻。釋文：幽深難見也。《易繫辭》：聖人有以見天下之～。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:033,軉,U+8EC9,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【篇海】魚欲切，音玉。古者貨貝爲寶，家有珍貝爲寶，又人之身精氣不散亂爲寶。太上作。《亳州𥓓》上有之。,1、軉讀音：魚欲切，音玉，沃韻。釋文：寶也。見《篇海》。 2、锏釋文：同軉。見《篇韻》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:034,輢,U+8F22,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】於綺切【集韻】【韻會】【正韻】隱綺切，𠀤音倚。【說文】車旁也。 又【集韻】奇寄切，音芰。車旁兵所插處。 又【正韻】於戲切，音意。義同。,1、輢讀音：隱綺切，音倚，紙韻。釋文： ❶車㫄也。見《說文》。《段注》：謂車兩㫄式之後䡈之下也。～者、言人所倚也。前者對之故曰轛。㫄者倚之故曰～。～之上曰䡈。 ❷通觭。《國策趙策》：臣恐秦折王之觭也。《鮑注》：觭、一作～。車㫄也。 2、輢讀音：奇寄切，音芰，於戲切，音意，寘韻。釋文：寄也。《文選左思賦》：枕～交趾。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:035,釟,U+91DF,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】博拔切【集韻】布拔切，𠀤音八。【玉篇】治金也。,1、釟讀音：布拔切，音八，黠韻。釋文：治金也。見《玉篇》。,cross_reference_dictionary_context,未审核,,,,
